नहीं,['टाटा' 'बचपन' 'पट']
बेच,['प्रॉपर्टी' 'लुटेरों' 'लूटा']
खाने,['मुआवजे' 'बिस्कुट' 'कांपने']
🙈,['भेजूंगा' 'School' 'इसीलिए']
😢,['😭' 'क्रेडिट' 'मंथ']
सोचकर,['शुक्रिया' 'कतराया' 'भगबान']
भड़क,['झंडे' 'बूझो' 'भगवे']
रिपोर्टर,['करोगे' 'कप' 'साधना']
पहाड़,['ख़ुशी' 'पसंद' 'निकालते']
साधना,['ग्रीन' 'स्वामीजी' 'ठण्ड']
क,['भाईयों' '🇮🇳🙏🏻' 'नमन्']
ं,['👀' 'GoodMorningTwitte' 'प']
बन्दा,['माल' '💃' '🙊']
बेट्री,['लूं' 'कौनसी' 'सैलरी']
सलाह,['दुःख' 'छोटा' '😟']
कपडे,['बुर्के' 'हरे' 'जालीदार']
जाय,['इकठ्ठा' 'रुई' 'निकलने']
कुतिया,['मर्द' 'आवारा' 'मर्दों']
ग्राहक,['दल्ले' 'पडते' 'तुझमे']
खुजली,['एहसान' 'हिंदुस्तानियों' '💃']
दिला,['कोठरी' 'प्रकृति' 'अय्याश']
बकवास,['मनुष्य' 'आता' 'दंत']
साफ़,['supreme' 'couने' 'भडुआ']
फुट,['भड़वा' 'विज्ञान' 'भड़वे']
प्रोफाइल,['सुधारने' 'बदलूंगी' 'बलात्कारी_बापू']
बलात्कारी,['बदल' 'अय्याश_आसाराम' 'हरामखोर']
ल,['वेटिंग' 'घाटों' 'बरपेगा']
बढ़ा,['विहान' 'किरण' 'चढ़ाकर']
अकेला,['नमो_नमः' 'मोदी_लाओ_देश_बचाओ' 'जय_हिंद']
लड़कियां,['नज़रों' 'एलएसडी' 'रोमांसालय']
लिख,['पूछ' 'परेड' 'गलती']
राजस्थान,['कोटा' '144' 'lockdown']
अकेले,['मौसम' 'कारनामें' 'रजवाड़े']
रवीश,['बिठाते' 'दीजिये' 'महीना']
पत्रकार,['दि' 'दलाल' 'गुनहगारों']
मंगल,['मंगलमय' 'जय_बजरंगबली' 'जानकार']
नुकसान,['समाजवादी' 'जया' 'break']
बजट,['जेलों' 'बढ़ाना' 'रूपए']
कोटि,['मर्दा' 'वीरांगना' 'प्रथम']
घाटा,['3250' 'कैंसिल' 'माहिर']
दर्शन,['😷' 'अपनो' 'distance']
पहन,['अपनो' '😷' 'distance']
भक्तो,['Retweeet' 'करूगा' 'Retweet']
तेजी,['पहली' 'धुन' 'धारी']
बढ़,['घंटे' 'जीता' 'km']
करूँगा,['प्रतिघात' 'हिंदुत्व' 'दशहरा']
इस्लामिक,['महिलाएं' '25' 'गार्ड']
गर्भवती,['कड़ी' 'हॉस्पिटल' 'पोरबंदर']
डाल,['एकता' 'आँधी' 'उड़कर']
उद्धव,['कारनामा' 'बचकानी' 'हरकत']
करोड़ों,['नाकाम' 'बीमार' 'रुपये']
ट्रेनों,['3250' 'कैंसिल' 'चपत']
गंदा,['जाया' 'तरहा' 'एयरटेल']
कुर्सी,['महाराष्ट्र' 'देदेता' 'चच्चा']
झूठ,['सोनू' 'सूद' 'देदेता']
जयश्रीराम,['रंग' 'संस्कृति' 'सांड']
तूफान,['खिड़की' 'खट' 'समुद्र']
चिंता,['पंकज' 'पहुंचाएंगे' 'पुरुस्कार']
मजदूरों,['SC' 'ऐतिहासिक' 'सबरीमाला']
विवाह,['राज्य' 'कन्या' 'आक्रोश']
मंदिरों,['₹' '2₹' 'मस्जिदो']
पूछता,['पुरुषार्थ' 'पूछते' 'कटी']
बनर्जी,['अनुमति' 'छी' 'दुर्गा']
छी,['अनुमति' 'ममता_का_जंगलराज' 'बनर्जी']
अंग्रेजी,['हिन्दी' 'भाड़' 'कातिल']
इस्लामी,['अगला' 'भसड़' 'हेडलाइन']
मुँह,['निकालता' 'फ़तवे' 'परिणामों']
दस,['दिग्विजय' 'ElectionResults2019' 'जनपथ']
72,['हूर' 'Terrorism' 'गिराया']
माला,['रुद्राक्ष' 'दिखे' 'Aajtak']
चलेगी,['वेटिंग' 'घाटों' 'बरपेगा']
लहर,['RahulGandhi' 'तूफान' '47']
अखिलेश,['माया' 'बनेगा' 'चुग']
मच्छर,['आधी' 'कथा' 'तरस']
पागल,['नीम' 'DefendingTabligi' 'चंदन']
समझाए,['WHO' 'बनते' 'ग़रीबो']
कमाई,['असर' 'संग्रहण' 'लीजिए']
विराम,['बेमानी' 'उलंघन' 'सफाई']
थीं,['खर्चा' 'झूठी' 'बुराइयां']
साब,['Thailand' 'Place' 'दिलाया']
बचा,['भ्र्ष्टाचार' 'मंदिर' '👉']
DeMonetisation,['केंद्र' 'वालीवूड' 'आपरेशन']
2014,['राहुल_गांधी' 'डूब' 'इंटरव्यू']
सीखे,['फ़न' 'ला' 'नहींमान']
शोक,['चार्ज' 'दिनों' 'भइया']
सब्जी,['StayHomeSaveLives' 'बट' 'पूडी']
टोल,['बुक' 'राजमार्गों' 'बूथ']
सफेद,['देके' 'काला' 'हड़बड़ी']
विधायकों,['बंदी' 'प्रदूषण' 'गिरफ्तारी']
खुदा,['रागा' 'तिरपाल' 'ओढूं']
रागा,['खास्ता' 'हैकर' 'खुदा']
तमन्ना,['नागिन' 'डांस' 'दिली']
इधर,['उधर' 'बेइज़्ज़ती' 'घुसकर']
खबरदार,['शवों' 'पंजाबी' 'लोक']
हिरण,['लगाव' 'हिरणों' 'छोडऩे']
आदत,['अजय' 'छिपाने' 'उड़ता']
एम,['पी' 'सीबीआई' 'मिलते']
बेगम,['रोटी' 'बडे' 'पड']
पति,['गुण' 'लडकी' 'गा']
गरीबों,['अम्बानी' 'JIO' 'मन्नत']
अम्बानी,['गरीबों' 'JIO' 'Net']
वजन,['आसान' 'मुश्किलों' 'निशानी']
पढ़ा,['एयरपोर्ट' 'गंवार' 'बेसिरपैर']
मूर्ख,['औवैC' 'राणावत' 'मूवीज']
सोते,['संस्कार' 'बेफ़िक्री' 'मुश्किल']
जाओगे,['दे' 'प्रमोशन' 'धड़']
खद्दरधारी,['खारी' 'नदिया' 'तंग']
Future,['Bright' 'Parliament' 'कहेता']
प्रधान,['मांगा' 'बिलमेंसे' 'संपोले']
बेजुबान,['ऊंट' 'जहाज' 'रोग']
रोटी,['CPM' 'Sitaramyechuri' 'वफादार']
व्यंग्य,['नये' 'लिखता' 'उधार']
इस्तीफ़ा,['कान' 'बैट्री' 'बल्ब']
बताते,['भेड़ियों' 'नियत' 'लड़ते']
गजब,['ख़राश' 'बुख़ार' 'Self']
कहर,['सोचा' 'घाटों' 'बरपेगा']
श्मशान,['घाट' 'MaharastraCovid' 'शवों']
जगाया,['समझाएं' 'घाट' 'श्मशान']
फेल,['पापा' 'अम्मी' 'बची']
सफूरा,['प्रेगनेंसी' 'इंटरेस्टेड' 'ज़रगर']
सेठ,['घुंघरू' 'घाट' 'श्मशान']
फोन,['सामानों' 'की\u200c' 'बॉयकॉ']
पत्रकारों,['अक्ल' 'F' 'राहुलगांधी']
आडवाणी,['अटल' 'कांग्रेसीयों' 'लगेगे']
NDA,['vs' 'UPA' 'मोर्चा']
बालक,['जले' 'MBBS' 'लेटेस्ट']
बेड,['AnjanaOmKashyap' 'सीमावर्ती' '२']
रखे,['👠' 'वेतन' 'StayHomeSaveLives']
सिगरेट,['बीड़ी' 'गुटखे' 'छपे']
झोपड़ी,['पोता' 'मांगता' 'बदलेंगे']
जात,['मुद्रा' 'घोड़े' 'गवाह']
भौंके,['कूकुर' 'लड़ता' 'स्वच्छ']
सोसाइटी,['भगाता' 'रोज़' 'भगाते']
हुर्रियत,['मलिक' 'जेहादी' 'अगला']
जम्मू,['हटनी' 'शासित' 'सौ']
बा,['उधमपुर' 'पर्वतीय' 'सैनिटाइजर']
NCP,['रहेगी' 'अंतरात्मा' 'जाग']
विजय,['गावित' 'अदिति' 'तेवर']
गावित,['विजय' 'रद्दी' 'चिटफण्ड']
ISIS,['सूंघ' 'जैविक' 'रासयनिक']
गैस,['फ्रेंड' 'सूंघ' 'कोंन']
उन्हे,['जौहर' 'करन' 'फोगाट']
उबाल,['बिजली' '₹' '2₹']
बारी,['निकालो' 'अनुष्का' 'भड़ास']
सूखे,['सिंचाई' 'डैम' 'महीनों']
अनशन,['गोडसे' 'सूखे' 'मज़ाक']
तकरार,['जिम्मेदारी' 'नीतीश' 'CongressWorkingCommittee']
खिलवाड़,['आत्मावलोकन' 'विश्लेषण' 'आकर']
86,['कर्ज' 'Hallabol' 'लाख']
माफ,['कर्ज' 'सीख' 'Hallabol']
